state_id,mse_fcst,mse_naive_insample,weights,msse,rmsse,wrmsse
0,951279.9180562093,7296701.918789809,0.42917588,0.13037121820840167,0.36106954760600024,0.1549623421101496
1,501602.98527423514,3348514.812101911,0.28106847,0.14979864609270513,0.3870383005500943,0.10878426453619869
2,1117790.1647851916,3735075.025477707,0.28975573,0.29926846372844385,0.5470543517132862,0.15851213402657888
