store_id,mse_fcst,mse_naive_insample,weights,msse,rmsse,wrmsse
0,152238.12558866292,750171.4957537155,0.107598536,0.20293776349860584,0.45048614129471937,0.04847164916390329
1,1036301.2040307231,563669.3036093418,0.10313506,1.8384914654656177,1.3559098294007672,0.1398418372623703
2,123865.13407944355,921369.3041401274,0.15585193,0.13443592436047272,0.36665504818626554,0.05714389704335284
3,25915.40248041716,100483.1974522293,0.06259032,0.2579078207850382,0.50784625703557,0.03178626145953447
4,32628.915285980136,356746.2988322718,0.07829321,0.09146251942286017,0.302427709416416,0.023678036694867705
5,101749.19800777323,583479.563163482,0.10225177,0.17438348218421607,0.41759248339046534,0.042699569777032334
6,51219.28964483941,327078.69851380045,0.10052345,0.1565962255493025,0.3957224097133021,0.03977938166113014
7,155284.17800179473,509842.13694267516,0.08642523,0.30457305654054706,0.551881379048566,0.04769647506568431
8,538033.404175992,512924.9654989384,0.11875672,1.048951484848529,1.024183325800869,0.12162865135859535
9,112976.234171415,506963.5047770701,0.08457373,0.22284885027590826,0.47206869232761905,0.03992461051647624
