item_id,mse_fcst,mse_naive_insample,weights,msse,rmsse,wrmsse
0,24.077085452021823,33.23566878980892,0.00010327954,0.7244351122973219,0.8511375401762761,8.79050942908176e-05
1,7.161452424175228,10.496815286624203,0.00030260338,0.6822500185652371,0.8259842725895192,0.00024994563352802383
2,8.274531380140374,25.130573248407643,0.00016214365,0.32926154522418927,0.5738131622960467,9.304016235579697e-05
3,1623.0574129043491,804.8582039162728,2.046166e-06,2.016575596803125,1.4200618285142113,2.905682154737992e-06
4,76.29096510885734,70.74256900212315,0.00054760306,1.0784307975381509,1.0384752272144728,0.0005686722160521738
5,47.06707125745019,60.45116772823779,0.00018606469,0.7785965602689977,0.882381187621879,0.00016417998039238777
6,2.958629824464785,7.495373226403455,6.0844788e-05,0.39472748522283263,0.6282734159765417,3.8227162860803475e-05
7,5.446621417016417,25.4777628032345,1.0803756e-06,0.213779422435197,0.4623628687894358,4.995255472507536e-07
8,16.594666276877383,13.188058035714286,0.00026967376,1.2583100735481856,1.1217442103920954,0.000302504984253212
9,16.876687230584903,28.42144373673036,0.00020033873,0.5938011941587039,0.7705849688118137,0.00015437801742274087
10,118.49719426367741,217.63113839285714,0.0026286435,0.5444863962884394,0.737893214691963,0.0019396582256287688
11,62.203372821652586,110.32908704883228,0.00022835212,0.5637984912729408,0.7508651618452815,0.00017146164937853866
12,18.89410353804114,39.2389705882353,8.502228e-05,0.48151374143607134,0.6939119118707153,5.899797193234871e-05
13,20.118079878525315,35.47937868237815,0.00015190736,0.5670358564795707,0.7530178327766021,0.00011438894781528436
14,6.140587623587991,31.187367303609342,0.00013009795,0.19689342687407074,0.44372674798131195,5.7727939959843174e-05
15,15.647318892119577,17.25151719487525,0.00014911365,0.9070111756180946,0.9523713433415008,0.0001420115671306336
16,306.6219837900631,562.7229299363057,0.0008221439,0.5448897982969513,0.7381665112269394,0.0006068791093238071
17,488.1667848433472,223.09978768577494,0.0004187383,2.18810958946723,1.4792260102726797,0.0006194085662308099
18,13.163779047098773,25.677813163481954,0.00018937128,0.5126518743356159,0.715997118943656,0.00013558928807306327
19,63.578703440848834,202.12993854258121,0.00011543104,0.3145437232073129,0.5608419770374833,6.473857131486933e-05
20,2.16338377250953,5.379556826304503,8.814336e-05,0.4021490695908627,0.6341522448047178,5.5896308898499276e-05
21,63.0660623906036,69.40178571428571,0.0011676404,0.9087095056924744,0.9532625586334934,0.0011130679126687814
22,24.425155255842753,37.47823779193206,0.0003314789,0.6517156807490228,0.8072890936641116,0.00026759929420606997
23,15.572886289440794,32.958093672966314,0.00015959822,0.47250567475067173,0.6873904820047131,0.00010970629570845024
24,28.834661551069722,16.67940552016985,3.2629525e-06,1.7287583491030853,1.3148225542266474,4.290203582665606e-06
25,72.02359399693322,156.43945469125902,0.00035613112,0.4603927707308577,0.6785224909543218,0.00024164297251793055
26,46.80794894180655,51.753514526710404,0.00018674674,0.9044400050869703,0.9510205071852922,0.0001775999758616504
27,5.029167892410073,10.722283205268935,0.00011416513,0.46903889741867083,0.684864145227848,7.818760422113572e-05
28,8.754716319680316,16.067940552016985,0.000110948575,0.5448561557306327,0.7381437229500991,8.189599400666605e-05
29,26.737804750657993,47.069532908704886,0.00034671873,0.5680490775746192,0.7536903061434579,0.00026131854904779255
30,395.4597934481576,645.0599787685775,0.00051071757,0.6130589502748135,0.7829808109237503,0.0003998820551714424
31,1.306711712788881,7.659205776173285,0.00010105057,0.17060668572894044,0.4130456218493793,4.173849676041869e-05
32,11.869669053920303,8.82587064676617,0.00029292362,1.3448723110698877,1.1596862985609029,0.00033969951049493116
33,36.320669563749526,27.871019108280255,0.00021642433,1.3031697700985376,1.141564614946757,0.00024706236175006555
34,28.05235069239797,48.64915074309979,0.00021755925,0.5766257018654495,0.7593587438526335,0.00016520552079274698
35,42.89857061823982,63.646496815286625,0.00031520778,0.674013068507746,0.8209829891707537,0.00025878022896199586
36,13.387010012679026,23.260244811069718,0.00020338889,0.5755317762738271,0.7586381062626811,0.00015429856129884
37,8.51052930719015,12.453402366863905,5.95407e-05,0.6833898926959128,0.8266739942056438,4.922074830490279e-05
38,22.583167494580554,46.417728237791934,0.00021173178,0.4865203091993203,0.6975100782062724,0.0001476850491072233
39,18.90456541285562,26.643312101910826,0.00017722524,0.7095426176950353,0.8423435271283536,0.00014928453673379406
40,134.77407959814312,219.91800878477306,0.00028174339,0.6128378496280509,0.7828396065785449,0.00022055988077169904
41,7.848068769334065,845.048324742268,4.0923317e-07,0.009287124226567344,0.09636972671211298,3.9437688413777056e-08
42,17.143109362731643,58.432590233545646,0.00017659775,0.29338267042781085,0.5416481057179199,9.565383697629278e-05
43,53.73708944773593,54.424628450106155,0.00021415988,0.9873671346603583,0.9936634916612154,0.00021280285570422685
44,136.9358166096427,556.8832271762208,0.0004483123,0.24589682347590364,0.49587984782193323,0.00022230903026372375
45,17.50846681946195,48.57749469214438,0.0002694555,0.36042342097756025,0.6003527471225232,0.00016176834123366604
46,5.335751364829889,13.685185185185185,0.00022514374,0.3898925219226171,0.6244137425798836,0.00014058284528288263
47,17.664908555932634,27.568471337579616,8.3112536e-05,0.6407648918804191,0.8004779146737399,6.652974968548124e-05
48,9.138029878285664,9.125386040765905,0.00023166963,1.0013855674119732,1.0006925438974617,0.0002318300750403006
49,28.607864712707656,29.167280766396463,0.0003505328,0.9808204248394211,0.99036378409119,0.000347154981683936
50,29.28934798628966,34.37628111273792,7.031717e-05,0.8520220058194914,0.9230503809757576,6.490628883890802e-05
