item_id,state_id,mse_fcst,mse_naive_insample,weights,msse,rmsse,wrmsse
0,0,21.548042460866416,20.96656050955414,5.9889913e-05,1.0277337787973047,1.0137720546539566,6.0714720404008625e-05
0,1,1.2715707154201377,7.702602230483271,2.8111592e-05,0.16508326372973794,0.4063043978715194,1.1421863357561547e-05
0,2,5.387213350702598,3.9171534784917683,1.527804e-05,1.3752877900451452,1.1727266476230278,1.791696395989767e-05
1,0,2.62445445243054,4.211252653927813,0.0001551812,0.6232004270707256,0.7894304447326095,0.0001225047653009191
1,1,0.866176784403515,1.8629117959617427,3.6208952e-05,0.464958559112212,0.6818786982390724,2.4690113207180242e-05
1,2,1.6199854147046222,4.035031847133758,0.00011121321,0.4014802053806246,0.6336246565440968,7.046743109198176e-05
2,0,4.040228267218699,13.6947983014862,7.4903306e-05,0.29501918745165023,0.5431566877537736,4.0684231635270445e-05
2,1,1.483363419039348,3.170912951167728,2.5555251e-05,0.46780326104287445,0.6839614470442573,1.7478806686665727e-05
2,2,2.1817054847037243,8.93895966029724,6.168508e-05,0.24406704668260892,0.4940314227684398,3.0474368410981748e-05
3,0,268.8982354183646,224.8217420661715,2.046166e-06,1.1960508487618609,1.0936410968694716,2.237771169574048e-06
3,1,344.20504797683145,120.21824324324324,0.0,2.863168173905063,1.6920898835183262,0.0
3,2,341.03387831981644,187.18783783783783,0.0,1.8218805359312742,1.349770549364326,0.0
4,0,61.04291780537478,41.6932059447983,0.0002675239,1.464097481162649,1.2099989591576719,0.0003237036331127234
4,1,4.306635845079166,14.592887473460722,9.078429e-05,0.29511882777904,0.5432484033837928,4.931842134860774e-05
4,2,15.888580948576557,8.27176220806794,0.0001892949,1.9208217727873609,1.3859371460450005,0.00026235082385088455
5,0,7.4342463620234165,25.64012738853503,0.00010554943,0.28994576545464573,0.5384661228477106,5.683479156214865e-05
5,1,2.602500351941248,11.191613588110403,2.435756e-05,0.23254022589790427,0.48222424855859775,1.174580587288092e-05
5,2,36.625678226362126,17.38588110403397,5.6157707e-05,2.1066334232473287,1.4514246185204827,8.150867867629666e-05
6,0,1.3239770691286896,2.9648365206662555,2.3178969e-05,0.44655988952509484,0.6682513670207453,1.5489377759668138e-05
6,1,0.6699336523435614,1.240625,8.692113e-06,0.5399968986144575,0.7348448126063472,6.38735393915254e-06
6,2,0.6031252583330785,3.459442724458204,2.8973709e-05,0.17434173835831784,0.41754249886486744,1.2097754878016678e-05
7,0,0.7951357904659374,16.298517520215633,1.0803756e-06,0.04878577388892592,0.22087501870724519,2.3862797391717804e-07
7,1,0.25535649955815454,4.065807327001357,0.0,0.06280585355393288,0.2506109605622485,0.0
7,2,0.24813772845018392,2.9377537212449254,0.0,0.08446512267373833,0.29062884005848133,0.0
8,0,1.2066444058421781,3.3768371546149325,4.9238937e-05,0.35732975876350015,0.5977706573289627,2.9433591861262112e-05
8,1,6.580849555048694,5.330357142857143,0.00010776747,1.234598241483172,1.1111247641391007,0.00011974310229967926
8,2,7.374822246267747,4.742124542124542,0.00011266734,1.5551726195203883,1.24706560353511,0.00014050356163304502
9,0,9.52962504657433,17.591825902335458,0.00013380288,0.5417075577873468,0.736007851715827,9.847997133997264e-05
9,1,0.8196890030474501,5.928343949044586,3.144002e-05,0.13826610097066847,0.37184149979617453,1.1690704336684598e-05
9,2,3.5645491955240063,3.76963906581741,3.5095836e-05,0.9455942951798405,0.9724167291752238,3.412777825551321e-05
10,0,63.503489380453516,118.06407995296884,0.0010124757,0.5378730720279217,0.7333983038076388,0.0007425479576975823
10,1,48.99294794369395,71.51841517857143,0.0011460984,0.6850396198149168,0.8276712027217794,0.0009485926130306527
10,2,13.240787750682745,18.265138154027042,0.0004700697,0.7249213030323265,0.8514231045915577,0.0004002282056597648
11,0,44.550825660774805,68.60987261146497,0.0001444593,0.6493354959724877,0.8058135615466444,0.0001164072688283614
11,1,8.322574857109888,28.148619957537154,4.0514085e-05,0.29566546671434285,0.5437512912300465,2.2029586256173035e-05
11,2,6.700824170564018,9.640658174097664,4.3378717e-05,0.6950587863977652,0.8337018570195014,3.6164917115543496e-05
12,0,4.504388776170064,15.950048030739673,2.7806029e-05,0.28240596940454327,0.5314188267313675,1.4776647206815222e-05
12,1,8.30254845170764,13.088970588235295,2.3528177e-05,0.6343163807832363,0.7964398161714645,1.8738776825745815e-05
12,2,9.370574244846845,12.53011152416357,3.3688077e-05,0.7478444407119804,0.8647799955549275,2.9132774780293943e-05
13,0,15.674420201038343,18.76968398500268,9.4942094e-05,0.8350923869342974,0.9138338946079301,8.676130325761966e-05
13,1,1.9483836442852822,7.664459161147903,3.7976835e-05,0.25421019322040117,0.504192615198201,1.914763990755351e-05
13,2,1.2404915974571042,5.570247933884297,1.8988421e-05,0.2226995301072843,0.47191051069803935,8.960835587684923e-06
14,0,7.029878007538372,17.776008492569,5.9191487e-05,0.395469996004846,0.6288640520850639,3.7223398236872494e-05
14,1,1.7982039869712698,4.183218268720127,2.2196808e-05,0.4298613821844486,0.6556381488172028,1.4553073811297753e-05
14,2,5.828964080224999,6.6406581740976645,4.8709662e-05,0.8777690294256173,0.9368932860393532,4.563575550262965e-05
15,0,7.6220218010763165,10.289952798381659,8.677926e-05,0.740724661271047,0.8606536244454251,7.468688666537159e-05
15,1,1.8202934778215438,3.7566101694915255,2.6278227e-05,0.48455745890394825,0.6961016153579507,1.8292316172379456e-05
15,2,2.385446070354959,2.7921462423832093,3.605617e-05,0.8543413787376999,0.9243058902428892,3.332693185061484e-05
