cat_id,mse_fcst,mse_naive_insample,weights,msse,rmsse,wrmsse
0,1683112.9908010487,16352918.489384288,0.56970143,0.10292431848747144,0.3208182016149823,0.18277058925085113
1,112567.99782362301,342626.46974522294,0.1286692,0.3285443705132548,0.5731879015761365,0.07375163007970591
2,366712.12575792876,2228166.7515923567,0.30162948,0.1645801982710039,0.4056848509261886,0.12236651212969603
