store_id,dept_id,mse_fcst,mse_naive_insample,weights,msse,rmsse,wrmsse
0,0,2400.1044148832148,5829.255838641189,0.0057266867,0.41173427300502285,0.6416652343746098,0.00367461574995936
0,1,4467.629478554756,11688.188959660298,0.01496568,0.38223453556183795,0.6182511913145319,0.009252549753350398
0,2,31773.879714002338,232702.50796178344,0.040226687,0.1365429190785539,0.36951714314569206,0.014864450364555006
0,3,7915.471303466799,14916.642250530786,0.017175388,0.5306469894848581,0.7284552076036371,0.012511500533364861
0,4,157.34905295676285,215.7351380042463,0.0006568629,0.7293621911219014,0.8540270435541848,0.0005609786957277737
0,5,4795.778634005069,23343.369957537154,0.022169996,0.20544499970350674,0.45326041047449395,0.010048781511191818
0,6,935.5137152546876,2156.441082802548,0.008178396,0.4338229885876955,0.6586524034630827,0.005386720280980144
1,0,5166.087414771057,10077.634819532908,0.009543945,0.5126289558297868,0.715981114157201,0.006833284432930421
1,1,8994.682803851434,4109.7335456475585,0.013265566,2.1886291906630575,1.4794016326417438,0.019625099952529226
1,2,88585.3898487593,102763.58174097665,0.03349598,0.8620309680529182,0.928456228399012,0.031099552414401516
1,3,3715.3587213903265,10354.52813163482,0.011159475,0.35881487540115736,0.5990115820258882,0.006684654751242225
1,4,115.19738560224057,250.1183651804671,0.00063983613,0.46057147990361513,0.6786541681177646,0.0004342274560392294
1,5,20209.822135144193,36794.90923566879,0.023594664,0.5492559311860701,0.7411180278377191,0.017486431154851677
1,6,5248.536118017556,5437.897558386412,0.010643708,0.9651774535405103,0.9824344525414967,0.010456745037538032
2,0,4994.776418197459,8817.065817409766,0.008895587,0.5664896374409508,0.7526550587360393,0.006695308688507451
2,1,7161.109568981762,15873.56050955414,0.01973797,0.4511344234755372,0.6716654103610943,0.01325731177613259
2,2,68365.54807041198,248418.3949044586,0.055164687,0.2752032436917777,0.524598173549792,0.028939294220644014
2,3,5880.680776456318,13899.012208067941,0.018035922,0.4231006267512138,0.6504618564921496,0.011731679437426734
2,4,108.48916146326935,282.0514861995754,0.0008629255,0.38464311223839487,0.6201960272675042,0.0005351829595078775
2,5,9346.91659638985,50330.50530785562,0.04293531,0.18571076406282327,0.4309417177099744,0.01850261701504078
2,6,1726.232165625713,3583.6852441613587,0.012351865,0.4816919031709437,0.6940402748911216,0.008572691744530878
3,0,773.219202083798,1671.0159235668789,0.004450757,0.46272401787370016,0.6802382067141629,0.0030275749986167465
3,1,2175.3710684748476,3821.19957537155,0.009863389,0.5692900947900184,0.7545131508396777,0.007442056504573443
3,2,6427.61954197458,28893.691082802547,0.022012249,0.22245754353621797,0.4716540506941692,0.010382166233722696
3,3,4188.384534417961,6061.461252653928,0.010598587,0.6909859454408183,0.8312556438550166,0.008810135154420595
3,4,29.800954997857392,67.31439192777482,0.00027589407,0.44271297926649056,0.6653668005442491,0.0001835707534350714
3,5,2583.313923134644,2915.718683651805,0.012241197,0.8859955995134486,0.9412733925451461,0.011522312858303317
3,6,817.0013397588854,583.7223991507431,0.0048812325,1.3996402073100835,1.1830639066889344,0.005774810004219024
4,0,936.1018753485405,2446.5727176220807,0.0047638915,0.38261763838287804,0.6185609415270884,0.0029467571836053175
4,1,2123.176821315695,7451.1438428874735,0.009909574,0.28494642783502083,0.5338037353138518,0.005289767585834139
4,2,17598.78029569488,109025.74097664544,0.026672678,0.1614185800348263,0.40176931196250704,0.010716263515690395
4,3,3128.598162628111,4765.548832271762,0.0088373255,0.6565032219251632,0.8102488641924549,0.007160432947627631
4,4,145.01312223365485,146.69957537154988,0.00048466306,0.9885040353141875,0.9942354023641421,0.00048186917425739264
4,5,6948.901856316176,19536.18949044586,0.02174385,0.35569381939679307,0.5964007204864805,0.012968048272841644
4,6,769.1206290836459,1448.935244161359,0.006772929,0.5308178072021511,0.7285724447178544,0.004934569345600806
5,0,1280.5487515497352,4343.291932059448,0.005639997,0.29483368182035613,0.5429858946790019,0.0030624387330184834
5,1,3525.733746423477,10177.89702760085,0.012248037,0.3464108289622349,0.5885667582885011,0.0072087876578853325
5,2,33427.63983217258,185948.07059447982,0.036488447,0.1797686834034025,0.42399137185018576,0.015470786843667166
5,3,2373.5766643108464,7053.511677282378,0.0138847185,0.33650992199467844,0.5800947526005372,0.008054452360518861
5,4,228.44732565656497,395.3328025477707,0.0007853812,0.5778607901603615,0.7601715531117706,0.0005970244343952876
5,5,6356.045674924083,26077.19904458599,0.024842037,0.24373958507034105,0.4936998937313447,0.0122645109716774
5,6,632.861781843498,1679.2038216560509,0.0073649148,0.3768820518877584,0.6139072013649607,0.004521374204025168
6,0,2151.3510259507284,3280.9601910828023,0.007075076,0.6557077503707006,0.8097578343990879,0.0057290982130469405
6,1,5252.951884945023,8213.101380042463,0.013944946,0.6395820095085524,0.7997387132736243,0.011152313354216504
6,2,15125.977891979259,105882.20116772824,0.030949816,0.14285666264170463,0.3779638377433807,0.011697911273537068
6,3,3098.0214661115265,4835.544055201699,0.016791858,0.6406769188213512,0.8004229624525718,0.01344058854857028
6,4,528.894367357509,275.59978768577497,0.0006397488,1.919066671998049,1.3853038193833325,0.0008862464807102311
6,5,9322.254568765666,17104.339171974523,0.023427112,0.5450227848638659,0.7382565847074213,0.017295219715351452
6,6,402.9161312386812,903.6778131634819,0.0061018635,0.44586259103585046,0.6677294295115728,0.004074393806270407
7,0,1596.7843348988335,5363.965498938429,0.0064908797,0.29768728661935834,0.5456072640822869,0.003541471110314277
7,1,7751.391316100169,10914.506369426752,0.016659446,0.7101916526259983,0.8427286945547768,0.014039393230703615
7,2,25363.391892857348,109841.83067940552,0.029832639,0.23090831367227735,0.48052920168526425,0.01433545410679813
7,3,3058.7723740413485,14816.846072186836,0.011222767,0.20643883044604652,0.45435540103100625,0.005099124670248097
7,4,139.153668164636,184.4432059447983,0.00054742576,0.7544526644493648,0.8685923465293514,0.0004754898282222933
7,5,6097.903746576199,16737.599787685776,0.015342962,0.36432366790503395,0.603592302721824,0.009260893762218171
7,6,604.8832058588733,1340.5281316348196,0.0058761877,0.45122753606162497,0.6717347214947468,0.003947239308633131
8,0,3760.565317349461,4553.533439490446,0.008807708,0.8258565281932528,0.9087664871644711,0.008004149475579881
8,1,39996.331649831314,33474.13906581741,0.029848965,1.1948427283279746,1.0930886186983992,0.03262756379558745
8,2,70249.3186520875,159331.8837579618,0.038745508,0.44089931654107584,0.664002497390692,0.025727113807691087
8,3,2164.772814274894,3529.5594479830147,0.008281892,0.6133266335865131,0.7831517308839412,0.006485978184438094
8,4,113.35203759639866,152.62898089171975,0.00045023835,0.7426639222390832,0.861779509061966,0.00038800618650022855
8,5,36487.50320751139,27965.51380042463,0.025947148,1.304732087810143,1.142248697880695,0.029638095994252357
8,6,566.1563234889169,654.2250530785562,0.0049264305,0.8653846575039912,0.9302605320575474,0.004582863883303966
9,0,2007.6604169035934,3334.9761146496817,0.0053992365,0.6020014380566218,0.7758875163685918,0.004189200163790998
9,1,7836.567126493536,14819.75796178344,0.015237003,0.5287918430720759,0.7271807499322819,0.011080055001757424
9,2,23244.616109146544,186399.67303609342,0.03363832,0.12470309486350646,0.35313325369257775,0.011878809695193305
9,3,3351.9987484941444,5171.08280254777,0.006805261,0.648219894456656,0.8051210433572432,0.005479058942411961
9,4,136.99210028814898,163.48354564755837,0.0005330099,0.8379565034849423,0.9153996414052948,0.0004879170523685136
9,5,5153.236892041849,17422.400743099788,0.016956946,0.2957822499911678,0.5438586672943329,0.009222181988357402
9,6,558.1192811930114,882.2526539278132,0.005330707,0.6326070867661876,0.7953660080530143,0.004239863104179378
