item_id,store_id,mse_fcst,mse_naive_insample,weights,msse,rmsse,wrmsse
0,0,1.9884122898373418,2.8996816,1.466692e-05,0.6857347067625994,0.8280910014983857,1.2145544408688365e-05
0,1,7.502272105862522,5.586518,1.7111406e-05,1.3429245837773969,1.158846229565164,1.9829488468369722e-05
0,2,6.355793342372002,10.154459,1.9555893e-05,0.6259115667906304,0.7911457304382237,1.547156143530903e-05
0,3,0.4135872359951436,1.0233669,8.555703e-06,0.40414364060286734,0.6357229275422331,5.439056597486255e-06
0,4,0.30627162300995897,3.511949,1.0389068e-05,0.08720844681193776,0.2953107631156334,3.068003580942179e-06
0,5,0.6911517072572823,2.3459086,1.1000191e-05,0.2946200439939094,0.5427891340050106,5.970784190095305e-06
0,6,0.3846785920423543,1.3110993,6.7223377e-06,0.29340157128268657,0.5416655529777453,3.641258783837247e-06
0,7,2.290103632237691,1.5135422,6.111216e-06,1.5130755321003242,1.2300713524427451,7.517231672182076e-06
0,8,0.6987598613942562,1.4843001,4.888973e-06,0.47076722839276597,0.6861247906851683,3.354445475583166e-06
0,9,0.6384510224601311,0.7977648,4.2778515e-06,0.8002998376926642,0.8945947896632666,3.82694369039535e-06
1,0,0.4740742675489972,1.1402018,3.6208956e-05,0.4157810175614032,0.644810838588654,2.3347927193856207e-05
1,1,0.8470335960852912,1.7441614,5.431343e-05,0.4856394665706867,0.6968783728676667,3.7849854831390796e-05
1,2,0.2893016189239574,0.7866242,4.3968015e-05,0.3677761521040808,0.6064455062939133,2.666420525931318e-05
1,3,0.38194721593020775,0.8098779,2.0690832e-05,0.4716108797573693,0.6867393098966807,1.420920745629756e-05
1,4,0.0815915763419349,0.5258943,0.0,0.1551482470636694,0.39388862266339886,0.0
1,5,0.12448144603574134,0.57651436,1.0345416e-05,0.21592080607602532,0.46467279463728595,4.807233285722429e-06
1,6,0.5840640042430424,0.7369819,2.586354e-05,0.7925079052505893,0.8902291307582499,2.302447595084651e-05
1,7,0.7277537169637226,2.3754647,6.20725e-05,0.30636267664247147,0.5535003854040857,3.435715090346088e-05
1,8,0.6030874063421517,0.87738854,3.6208956e-05,0.6873664071932245,0.8290756341813601,3.0019963044410225e-05
1,9,0.15698941090698207,0.97822624,1.293177e-05,0.16048374473464452,0.4006042245591583,5.180521517147835e-06
2,0,1.0644858928056333,2.6595745,1.9386745e-05,0.4002466895876383,0.6326505272167552,1.2265034702911223e-05
2,1,1.8783812888071356,5.9692144,2.7317688e-05,0.3146781386192639,0.5609617978251852,1.532417957700619e-05
2,2,1.6686098009353825,3.2515924,2.026796e-05,0.513166964629666,0.7163567300093341,1.451908975068577e-05
2,3,0.22362716852803957,2.0663834,7.93094e-06,0.10822152978015914,0.3289704086694716,2.6090446479734854e-06
2,4,0.26624168578637525,1.8382118,1.0574586e-05,0.1448373301882313,0.3805749994261726,4.024422968839806e-06
2,5,1.1620559075920134,1.086564,1.2337018e-05,1.0694776990673724,1.034155548777539,1.2758395861715087e-05
2,6,0.050427896743006066,0.37632698,2.643647e-06,0.13400021700096398,0.36606040075507207,9.677344415767796e-07
2,7,0.9218473225669054,5.930467,4.141713e-05,0.15544261565794049,0.3942621154231541,1.632920527991036e-05
2,8,0.20155862703580132,1.8459904,8.812156e-06,0.10918725520939804,0.3304349485290532,2.9118443179636384e-06
2,9,0.23917099673333395,1.0292709,1.14558015e-05,0.23236933995416098,0.48204703085296663,5.522235118957174e-06
3,0,32.57109144287717,56.658783,0.0,0.5748639441559409,0.7581978265307419,0.0
3,1,25.502252954513075,36.737164,0.0,0.6941813274227483,0.8331754481636796,0.0
3,2,24.514432324842456,84.20324,2.0461662e-06,0.2911340761663124,0.539568416575982,1.1040466422253037e-06
3,3,15.811227501090604,8.418243,0.0,1.8782098276801327,1.3704779559263742,0.0
3,4,23.281902930525398,32.222298,0.0,0.7225401233046288,0.8500236016162309,0.0
3,5,34.72965499431049,37.281757,0.0,0.931545545556167,0.9651660714903767,0.0
3,6,27.998249682423193,33.199326,0.0,0.8433379054805841,0.9183343103034886,0.0
3,7,24.077819352715718,47.777702,0.0,0.5039551543444456,0.7098979886888296,0.0
3,8,32.37661783122757,76.72298,0.0,0.4219937654965726,0.6496104721266219,0.0
3,9,24.30315263770691,40.760136,0.0,0.596248080379694,0.7721710175729817,0.0
4,0,1.3262288361859214,4.927813,3.8631617e-05,0.26913132090983916,0.518778682011741,2.0041259308169806e-05
4,1,29.31015254807349,20.066349,0.00012941592,1.4606619522527018,1.2085784841096179,0.00015640929107189834
4,2,9.021992394088207,13.537685,7.0502705e-05,0.6664353714332495,0.8163549298149975,5.755523083869847e-05
4,3,3.957416374993193,1.1528662,2.8973715e-05,3.432676075393982,1.8527482493296228,5.368099882890041e-05
4,4,0.9273146240631694,3.5981953,3.187108e-05,0.25771658929968494,0.5076579451753759,1.6179607422048602e-05
4,5,1.0925558640261037,7.3890657,2.9939503e-05,0.1478611643340899,0.38452719583156914,1.1512553245675484e-05
4,6,1.373751400808747,2.5100849,2.8973715e-05,0.5472928101388614,0.7397924101657583,2.1434534086380436e-05
4,7,4.2099459089025135,2.5164545,8.8852714e-05,1.6729672556253874,1.293432354483754,0.0001149249748331292
4,8,3.634618832210922,2.5875797,4.9255308e-05,1.4046403262642844,1.185175230193529,5.8376171131150136e-05
4,9,2.2470791456433186,2.4494624,5.118689e-05,0.9173764549293254,0.9577977108603494,4.9026685419351235e-05
5,0,2.5330926994049237,6.215728,3.247675e-05,0.4075295409368691,0.6383804045683648,2.073252065463325e-05
