store_id,cat_id,mse_fcst,mse_naive_insample,weights,msse,rmsse,wrmsse
0,0,41466.06092314894,382991.7287685775,0.060919054,0.10826881576913841,0.32904227048988466,0.020044943795741284
0,1,7943.242319057492,15732.239384288747,0.01783225,0.5049022027334608,0.7105647069292569,0.012670967070932024
0,2,8115.881849007585,36357.329087048834,0.030348394,0.22322546932906065,0.47246742673867015,0.014338627650059197
1,0,284983.1139489307,193860.61571125264,0.056305498,1.4700413124314082,1.2124526021380828,0.0682677474250459
1,1,3675.7358232494107,11401.375796178343,0.01179931,0.32239405918726843,0.5677975512339486,0.006699619513909849
1,2,43405.47961985334,66705.19426751592,0.034238376,0.6507061421001051,0.8066635866952871,0.02761885096362801
2,0,75277.8674258698,427521.7547770701,0.083798245,0.1760796183696505,0.41961841995990895,0.03516328699258929
2,1,6747.632373711972,14561.390658174098,0.018898848,0.4633920297938137,0.6807290428605303,0.01286499501260242
2,2,14501.178016443986,73151.29564755839,0.05528718,0.1982354227368767,0.4452363672667325,0.024615862558871136
3,0,8376.992679655204,53704.06794055202,0.036326393,0.15598432299259263,0.3949485067608088,0.014347054862933683
3,1,4044.2771348961733,6204.8954352441615,0.010874483,0.651788120702961,0.8073339585964169,0.008779339249072355
3,2,3782.7356338153,4501.614118895966,0.01712243,0.8403065064899491,0.9166823367393686,0.015695829809379638
4,0,25330.841321314587,178762.74946921444,0.04134614,0.14170089348327533,0.376431791276023,0.015564001620041526
4,1,2863.671212125063,5141.176220806794,0.009321989,0.5570070134020174,0.7463290248958682,0.006957270632268793
4,2,7464.6941005397775,26996.160828025477,0.028516779,0.2765094691831317,0.5258416769172368,0.014995310743667452
5,0,49534.551440758216,302568.16507431,0.054376483,0.16371369218104176,0.40461548682797815,0.022001567126294905
5,1,2696.656839685398,7998.475053078556,0.014670101,0.3371463712507891,0.5806430669962306,0.00851809243453759
5,2,7878.778428641696,36639.859341825904,0.03220695,0.2150329878490485,0.46371649512288055,0.014934893437737328
6,0,30077.1021307586,172631.1406581741,0.051969845,0.17422755834252462,0.41740574785515905,0.02169251195466161
6,1,3797.9091248338314,5213.868895966029,0.017431607,0.7284243621415709,0.8534778041294167,0.014877490065870138
6,2,10277.234496473817,22997.832271762207,0.029528972,0.44687840032178494,0.6684896411477032,0.019739811736282448
7,0,53023.813597452405,221873.47133757963,0.052982964,0.23898221485333357,0.48885807230047207,0.025901149460829415
7,1,3580.317891670442,16093.212845010616,0.0117701925,0.22247377985685743,0.47167126248782365,0.005551661572109874
7,2,8812.56422903956,25440.35721868365,0.02121915,0.3464009625842646,0.5885583765305398,0.012488708023292616
8,0,277798.75110310275,352958.9331210191,0.07740218,0.7870568642269038,0.8871622536080442,0.068668294149334
8,1,2334.4254369320406,3933.7234607218684,0.008732131,0.5934391322219827,0.7703500063101075,0.0067267969791441305
8,2,43651.850206344236,33991.06050955414,0.030873578,1.2842156011600363,1.1332323685634982,0.03498693797032986
9,0,51848.77355654202,318741.6533970276,0.054274563,0.16266707850686432,0.40332006955625743,0.021890020421967686
9,1,3767.3566898946005,5576.791401273886,0.007338271,0.6755419772441259,0.8219136069223614,0.006031424794951187
9,2,8220.856016313106,23830.843418259024,0.02228765,0.3449670610488903,0.5873389660569868,0.013090405326710616
