item_id,store_id,mse_fcst,mse_naive_insample,weights,msse,rmsse,wrmsse
0,0,1.7059582665941149,2.8996816,1.33756375e-05,0.5883260718469226,0.7670241664034599,1.025943723134024e-05
0,1,7.634154865810046,5.586518,1.9455474e-05,1.3665319120655224,1.1689875585589107,2.2743207172119682e-05
0,2,6.463926026381437,10.154459,2.1887407e-05,0.6365603550730327,0.7978473256664038,1.7462808779088996e-05
0,3,0.32261490644334745,1.0233669,4.255885e-06,0.3152485170125,0.5614699609173228,2.3895515621613558e-06
0,4,0.3939746334826895,3.511949,7.599795e-06,0.11218119240583575,0.33493460914906326,2.5454343767068613e-06
0,5,0.6892087250437863,2.3459086,1.3071646e-05,0.2937918010781953,0.5420256461443456,7.085167482125542e-06
0,6,0.41308301079445514,1.3110993,6.079835e-06,0.3150661537825628,0.5613075393957958,3.412657337390752e-06
0,7,2.356581050698981,1.5135422,8.207779e-06,1.5569972803981027,1.2477969708242214,1.0241641264163068e-05
0,8,0.6905160696419421,1.4843001,5.4718516e-06,0.4652132359425695,0.6820654191077052,3.732160779870555e-06
0,9,0.674689489385253,0.7977648,2.4319345e-06,0.8457248400470415,0.9196329920392382,2.2364871916958222e-06
1,0,0.5854742907933246,1.1402018,3.6023026e-05,0.5134830406228074,0.7165773095924873,2.5813283083998163e-05
1,1,0.7446397000011501,1.7441614,5.2748e-05,0.4269328021547579,0.6534009505309568,3.44655937296756e-05
1,2,0.36083366510534803,0.7866242,2.315766e-05,0.458711629045322,0.6772825326592455,1.5684278342945163e-05
1,3,0.3620874694509922,0.8098779,3.0876876e-05,0.44708897694414756,0.6686471243818727,2.0645734230900776e-05
1,4,0.06856141844594771,0.5258943,7.719219e-06,0.13037110404031274,0.36106938950887646,2.7871736761020132e-06
1,5,0.13836365475164775,0.57651436,7.719219e-06,0.24000036002974065,0.48989831601031314,3.7816323676950262e-06
1,6,0.6074184398271555,0.7369819,2.315766e-05,0.8241971973292251,0.9078530703419057,2.102375236791137e-05
1,7,0.6540827972007293,2.3754647,7.5905664e-05,0.27534940986938194,0.524737467567718,3.9830545814519595e-05
1,8,0.6751584417475817,0.87738854,3.988263e-05,0.7695090753178856,0.8772166638396044,3.498570808748141e-05
1,9,0.18371518539219417,0.97822624,1.0292292e-05,0.18780439232189972,0.4333640413346494,4.4603093619510705e-06
2,0,0.8091298261582529,2.6595745,1.8410503e-05,0.30423280999327884,0.5515730323296081,1.0154736905369732e-05
2,1,2.0315363880296404,5.9692144,2.235561e-05,0.3403356352258194,0.5833829233237972,1.3041881570244602e-05
2,2,1.7633611093588812,3.2515924,1.8410503e-05,0.5423069357068581,0.7364149208882572,1.3557769028744262e-05
2,3,0.22348355066607187,2.0663834,6.5751797e-06,0.10815202773875601,0.328864755999721,2.162344857266159e-06
2,4,0.19479064597593093,1.8382118,8.766905e-06,0.1059674672110965,0.3255264462545194,2.853859433117974e-06
2,5,1.1396044365166098,1.086564,1.1396976e-05,1.048814882872792,1.0241166353852436,1.167183305606987e-05
2,6,0.10925303363630813,0.37632698,2.6300718e-06,0.29031411502026094,0.5388080502556184,1.417103845856146e-06
2,7,0.9365284734115462,5.930467,3.7259346e-05,0.15791816278195367,0.3973891830208186,1.4806461005269056e-05
2,8,0.2860015717398766,1.8459904,4.3834534e-06,0.15493123297721276,0.3936130498055327,1.725384467499347e-06
2,9,0.14056316103956792,1.0292709,7.890215e-06,0.1365657600576557,0.3695480483748435,2.9158135080745478e-06
3,0,18.487528151677882,56.658783,1.5693575e-05,0.3262958924666827,0.5712231547011052,8.964533319315733e-06
3,1,11.854674815271975,36.737164,3.723899e-06,0.32268889788320465,0.5680571255456661,2.1153873611613063e-06
3,2,22.330335861769438,84.20324,9.4047455e-06,0.2651956861759189,0.5149715391901953,4.843176250125627e-06
3,3,8.70854784336454,8.418243,0.0,1.0344851557604677,1.0170964338549555,0.0
3,4,11.993005387041071,32.222298,2.2609389e-05,0.3721958474358343,0.6100785584134508,1.3793503390904952e-05
3,5,16.43859399047362,37.281757,0.0,0.44092862452969206,0.664024566209483,0.0
3,6,13.275074714002756,33.199326,1.0639712e-05,0.39985977092823793,0.6323446615005442,6.727965048488402e-06
3,7,10.840078854745942,47.777702,1.2767655e-05,0.22688572965530182,0.47632523516532466,6.081556213229608e-06
3,8,17.129828738965028,76.72298,4.2824842e-05,0.22326856281124963,0.4725130292502521,2.0235295933748988e-05
3,9,11.427548490671539,40.760136,2.9259206e-06,0.2803609043065973,0.5294911749090794,1.5492491498374939e-06
4,0,1.6939161643354226,4.927813,3.7952832e-05,0.34374602812075394,0.586298582738142,2.2251691563958878e-05
4,1,24.24550010280052,20.066349,0.00011049557,1.2082666391931633,1.099211826352484,0.00012145804126974004
4,2,9.88030244409978,13.537685,8.167065e-05,0.7298369075905146,0.8543049265868216,6.977164073252036e-05
4,3,3.255465582228376,1.1528662,2.2579532e-05,2.8238016320441153,1.680417100616426,3.794303172156603e-05
4,4,1.5181914553440279,3.5981953,2.594244e-05,0.4219313635547008,0.6495624400738552,1.6851234372134793e-05
4,5,2.874054648851034,7.3890657,3.1227013e-05,0.3889604923018971,0.6236669722711771,1.9475256710787768e-05
4,6,1.3650588901050085,2.5100849,2.6903275e-05,0.5438297755553039,0.7374481510962678,1.983977061660854e-05
4,7,3.875085070665811,2.5164545,8.695522e-05,1.5398987484085538,1.2409265684997457,0.00010790503883358753
4,8,3.1317169484675,2.5875797,7.5905664e-05,1.21028809878997,1.100130946201392,8.350616977620427e-05
