state_id,dept_id,mse_fcst,mse_naive_insample,weights,msse,rmsse,wrmsse
0,0,23163.858928343947,60579.733545647556,0.028741825,0.3823697724072969,0.6183605521112233,0.01777281100570233
0,1,131001.76379740707,91314.27282377919,0.057609554,1.4346252753960806,1.197758437831302,0.06900232985855999
0,2,202389.76894224205,1807183.2085987262,0.14832413,0.11199183789405241,0.33465181591327486,0.04963694010606071
0,3,47816.13247382959,85147.19267515924,0.056972202,0.561570275795827,0.749379927537312,0.042693824541651076
0,4,483.3048609965466,1118.5960721868364,0.0023281297,0.43206379229608216,0.6573155956586472,0.0015303159724104607
0,5,125469.70385869338,319639.2494692144,0.0997879,0.39253534748015295,0.626526414032284,0.06251975412436321
0,6,19612.33731887021,30146.553078556262,0.035412155,0.6505664932161278,0.8065770224945215,0.02856263061402804
1,0,13902.610388910913,17971.23779193206,0.017608523,0.7736033850240576,0.8795472613930746,0.015487528506235176
1,1,8672.563209218626,58883.59447983015,0.036552705,0.14728318279192867,0.3837749116238953,0.014028011081367541
1,2,171556.28394655645,1041818.7770700637,0.09259637,0.1646699864913445,0.40579549836259216,0.037575188893952775
1,3,10095.29314308503,28560.05997876858,0.040855486,0.3534759083345702,0.594538399377677,0.02429015522009636
1,4,871.4899130513962,999.2945859872611,0.0020337596,0.8721051082153124,0.9338656799643685,0.0018992582982771196
1,5,39884.214708764186,149287.20116772823,0.07118318,0.2671643275296801,0.5168794129482042,0.03679312147856299
1,6,3796.9536447068613,7950.884819532908,0.020238426,0.477551081532322,0.6910507083654006,0.01398577833508888
2,0,5183.254937803681,25975.202229299364,0.020399285,0.19954627848699102,0.4467060313975971,0.009112483860287202
2,1,253307.47714746578,114905.90976645435,0.0621931,2.2044773646743834,1.484748249594652,0.09234109548488645
2,2,296528.1450906273,1050750.585987261,0.10157758,0.28220602400332356,0.5312306692984918,0.05396112579590842
2,3,12934.82704082103,40617.606157112525,0.026677722,0.31845370184515465,0.5643170224662327,0.015054692708055416
2,4,359.07559258719994,603.1056263269639,0.0015002663,0.5953776202918938,0.7716071670817306,0.001157616194795915
2,5,153214.56251766294,146737.01645435244,0.06118984,1.0441439128301042,1.0218336032985529,0.06252583620381823
2,6,3749.87594376925,5994.338110403397,0.016217913,0.625569641669228,0.7909296060138525,0.01282722791800605
